"$id","time","hook_load","oil_temp_gearbox","oil_temp_swivel","pressure_gearbox","rpm","temp_ambient","torque","wob","mru_pos","mru_vel","ram_pos_measured","ram_pos_setpoint","ram_vel_measured","ram_vel_setpoint","friction_coeff"
757,"2013-01-09T20:48:56",94.25495000000001,29.523018308571622,35.32759167937529,2.9699673970796665,31.94711399103139,17.31,9.660203570019723,0.3925245161290323,395.2512258064516,28.300403225806452,32617.7,32617.7,1.993458795811519,0,0.00969712987844839
758,"2013-01-09T20:48:57",94.9445,29.51912751170992,35.32659444249203,2.971375815287254,32.03679178082192,17.31,9.695748695890412,-0.10664108695652173,385.9648913043478,-40.64991214285714,32605.254347826085,32606.98695652174,-23.39684197530864,0,0.009633423363793536
759,"2013-01-09T20:48:58",95.0158,29.51523671484822,35.32559720560877,2.9727842334948416,31.91658630136986,17.31,9.757354175342465,-0.5912491489361702,314.0316382978723,-95.21673617021277,32560.329787234044,32564.014893617023,-57.37028217270195,0,0.009607186352693945
760,"2013-01-09T20:48:59",95.62049999999999,29.511345917986525,35.324599968725515,2.974192651702429,31.830870117255255,17.31,9.74309396438613,-0.8717471774193548,199.8273870967742,-120.84207614213197,32485.072580645163,32488.593548387096,-77.97294261168385,0,0.009644427674768445
761,"2013-01-09T20:49:00",96.3987,29.507455121124824,35.323602731842264,2.9756010699100166,31.830419135502673,17.31,9.721552258669167,-1.5372274193548388,73.49665744680851,-117.64664467005076,32415.006451612902,32418.370967741936,-64.19592006745363,0,0.009664373995049902
762,"2013-01-09T20:49:01",96.84705,29.503564324263124,35.32260549495901,2.9770094881176044,31.829968153750087,17.31,9.700010552952202,-1.774527558139535,-37.10775238095238,-105.82453488372093,32363.20634920635,32365.750793650794,-48.21995042158516,0,0.009684065595132898
763,"2013-01-09T20:49:02",96.79215,29.499673527401423,35.321608258075756,2.978417906325192,31.8295171719975,17.31,9.678468847235239,-1.7303801612903227,-131.47678846153846,-70.74025833333334,32326.42580645161,32327.706451612903,-26.63206388888889,0,0.009704444660307078
764,"2013-01-09T20:49:03",96.8847,29.495782730539727,35.3206110211925,2.9798263245327794,31.829066190244916,17.31,9.656927141518274,-1.5919142857142856,-179.96966666666665,-25.115252127659573,32320.55076923077,32320.554786324785,-7.937717205128205,0,0.00972450166476011
765,"2013-01-09T20:49:04",95.4247,29.491891933678026,35.31961378430924,2.981234742740367,31.828615208492334,17.31,9.662563563449508,-0.25455,-179.74577629987908,27.9253,32321.1,32321.015596330275,2.12604,0,0.00971868608166234
766,"2013-01-09T20:49:05",95.4324,29.48800113681633,35.31861654742598,2.982643160947955,31.828164226739748,17.31,9.68812433199285,-0.2597395744680851,-134.73871794871795,67.95169759036145,32338.92340425532,32337.32340425532,27.56663009708738,0,0.00969142809371107
767,"2013-01-09T20:49:06",94.8972,29.48411033995463,35.317619310542725,2.984051579155542,31.827713244987166,17.31,9.713685100536193,-0.23502,-57.36578461538461,79.10163951473137,32379.45,32376.525,30.83772879663689,0,0.009664552491689928
768,"2013-01-09T20:49:07",94.73904999999999,29.48021954309293,35.316622073659474,2.98545999736313,31.82726226323458,17.31,9.739245869079536,0.42157,25.969351923076925,75.66351126516464,32419.620967741936,32417.56935483871,26.750787125591174,0,0.009637596480964378
769,"2013-01-09T20:49:08",94.3302,29.476328746231232,35.315624836776216,2.9868684155707173,31.826811281481994,17.31,9.77362535009862,0.2789841134751773,92.89738930481283,56.521908866995076,32456.88510638298,32455.178723404257,22.663845454545456,0,0.00960421577020239
770,"2013-01-09T20:49:09",94.5375,29.47243794936953,35.31462759989296,2.988276833778305,31.82636029972941,17.31,9.875045600390498,0.6772344680851065,133.58856532066508,29.17809108910891,32481.17659574468,32480.129787234044,18.576903783499738,0,0.009501165175004564
